taxonId;taxaGroup;scientificName;vernacularName;family;taxonLabel;ndffIdentity;threatStatus;occurenceStatus;taxaSubgroup;isAcceptedName;scientificNameAuthorship;updated
8321;V;Persicaria virginiana;;Polygonaceae;8321;http://ndff-ecogrid.nl/taxonomy/taxa/persicariavirginiana;;zz;S;0;(L.) Gaertn.;08/22/2022 12:21:30
8322;V;Phleum phleoides;Kalkdoddegras;Poaceae;8322;http://ndff-ecogrid.nl/taxonomy/taxa/phleumphleoides;;zzz;E;0;(L.) H. Karst.;08/22/2022 12:21:30
8323;V;Phlox paniculata;Hoge vlambloem;Polemoniaceae;8323;http://ndff-ecogrid.nl/taxonomy/taxa/phloxpaniculata;;zz;S;0;L.;10/10/2025 12:39:46
8324;V;Phlox subulata;;Polemoniaceae;8324;http://ndff-ecogrid.nl/taxonomy/taxa/phloxsubulata;;zzz;S;0;L.;08/22/2022 12:21:30
8325;V;Phoenix dactylifera;Gewone dadelpalm;Arecaceae;8325;http://ndff-ecogrid.nl/taxonomy/taxa/phoenixdactylifera;;zzz;E;0;L.;10/10/2025 12:39:46
8326;V;Photinia davidiana;Glansmispel;Rosaceae;8326;http://ndff-ecogrid.nl/taxonomy/taxa/photiniadavidiana;;zz;S;0;(Decne.) Cardot;10/10/2025 12:39:46
8327;V;Phuopsis stylosa;Kruisjesbloem;Rubiaceae;8327;http://ndff-ecogrid.nl/taxonomy/taxa/phuopsisstylosa;;zz;S;-1;(Trin.) Hook. f. ex B.D. Jacks.;08/22/2022 12:21:30
8328;V;Phyla nodiflora;Kruipende wisselbloem;Verbenaceae;8328;http://ndff-ecogrid.nl/taxonomy/taxa/phylanodiflora;;zzz;S;0;(L.) Greene;10/10/2025 12:39:46
8329;V;Physalis philadelphica;;Solanaceae;8329;http://ndff-ecogrid.nl/taxonomy/taxa/physalisphiladelphica;;zzz;S;0;Lam.;08/22/2022 12:21:30
8330;V;Physostegia virginiana;;Lamiaceae;8330;http://ndff-ecogrid.nl/taxonomy/taxa/physostegiavirginiana;;zz;S;0;(L.) Benth.;10/10/2025 12:39:46
8331;V;Pinus wallichiana;;Pinaceae;8331;http://ndff-ecogrid.nl/taxonomy/taxa/pinuswallichiana;;zzz;N;0;A.B. Jacks.;08/22/2022 12:21:30
8332;V;Piptatherum miliaceum;Smilogras;Poaceae;8332;http://ndff-ecogrid.nl/taxonomy/taxa/piptatherummiliaceum;;zzz;E;-1;(L.) Coss.;08/22/2022 12:21:30
8333;V;Platycodon grandiflorus;;Campanulaceae;8333;http://ndff-ecogrid.nl/taxonomy/taxa/platycodongrandiflorus;;zz;S;0;(Jacq.) A. DC.;09/15/2022 22:26:10
8334;V;Persicaria affinis;Kruipduizendknoop;Polygonaceae;8334;http://ndff-ecogrid.nl/taxonomy/taxa/persicariaaffinis;;zzz;S;0;(D. Don) Ronse Decr.;01/24/2025 10:12:26
8335;V;Polystichum luctuosum;Smalle naaldvaren;Dryopteridaceae;8335;http://ndff-ecogrid.nl/taxonomy/taxa/polystichumluctuosum;;zzz;V;0;(Kunze) T. Moore;02/06/2023 22:04:46
8336;V;Populus lasiocarpa;Ruwe populier;Salicaceae;8336;http://ndff-ecogrid.nl/taxonomy/taxa/populuslasiocarpa;;zzz;S;0;Oliv.;01/24/2025 10:12:26
8337;V;Populus simonii;Chinese balsempopulier;Salicaceae;8337;http://ndff-ecogrid.nl/taxonomy/taxa/populussimonii;;zzz;S;0;Carrière;01/24/2025 10:12:26
8338;V;Potamogeton x schreberi;Drijvend x Rivierfonteinkruid;Potamogetonaceae;8338;http://ndff-ecogrid.nl/taxonomy/taxa/potamogetonschreberi;;zzz;E;0;G.Fisch.;08/22/2022 12:21:30
8339;V;Potentilla alba;Witte ganzerik;Rosaceae;8339;http://ndff-ecogrid.nl/taxonomy/taxa/potentillaalba;;zzz;S;0;L.;01/24/2025 10:12:26
8340;V;Prunus lusitanica;Portugese laurierkers;Rosaceae;8340;http://ndff-ecogrid.nl/taxonomy/taxa/prunuslusitanica;;zz;S;0;L.;03/05/2023 01:06:52
8341;V;Prunus serrulata;Japanse sierkers;Rosaceae;8341;http://ndff-ecogrid.nl/taxonomy/taxa/prunusserrulata;;zzz;S;0;Lindl.;08/22/2022 12:21:30
8342;V;Pulmonaria rubra;;Boraginaceae;8342;http://ndff-ecogrid.nl/taxonomy/taxa/pulmonariarubra;;zzz;S;-1;Schott;08/22/2022 12:21:30
